DriverNumber,BroadcastName,TeamName,Position,Q1,Q2,Q3,Year,EventName,WetSession
4,L NORRIS,McLaren,5.0,0 days 00:01:12.927000,0 days 00:01:12.266000,0 days 00:01:11.849000,2022,Monaco Grand Prix,False
63,G RUSSELL,Mercedes,6.0,0 days 00:01:12.787000,0 days 00:01:12.617000,0 days 00:01:12.112000,2022,Monaco Grand Prix,False
14,F ALONSO,Alpine,7.0,0 days 00:01:13.394000,0 days 00:01:12.688000,0 days 00:01:12.247000,2022,Monaco Grand Prix,False
44,L HAMILTON,Mercedes,8.0,0 days 00:01:13.444000,0 days 00:01:12.595000,0 days 00:01:12.560000,2022,Monaco Grand Prix,False
5,S VETTEL,Aston Martin,9.0,0 days 00:01:13.313000,0 days 00:01:12.613000,0 days 00:01:12.732000,2022,Monaco Grand Prix,False
31,E OCON,Alpine,10.0,0 days 00:01:12.848000,0 days 00:01:12.528000,0 days 00:01:13.047000,2022,Monaco Grand Prix,False
22,Y TSUNODA,AlphaTauri,11.0,0 days 00:01:13.110000,0 days 00:01:12.797000,,2022,Monaco Grand Prix,False
77,V BOTTAS,Alfa Romeo,12.0,0 days 00:01:13.541000,0 days 00:01:12.909000,,2022,Monaco Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,13.0,0 days 00:01:13.069000,0 days 00:01:12.921000,,2022,Monaco Grand Prix,False
3,D RICCIARDO,McLaren,14.0,0 days 00:01:13.338000,0 days 00:01:12.964000,,2022,Monaco Grand Prix,False
47,M SCHUMACHER,Haas F1 Team,15.0,0 days 00:01:13.469000,0 days 00:01:13.081000,,2022,Monaco Grand Prix,False
23,A ALBON,Williams,16.0,0 days 00:01:13.611000,,,2022,Monaco Grand Prix,False
10,P GASLY,AlphaTauri,17.0,0 days 00:01:13.660000,,,2022,Monaco Grand Prix,False
18,L STROLL,Aston Martin,18.0,0 days 00:01:13.678000,,,2022,Monaco Grand Prix,False
6,N LATIFI,Williams,19.0,0 days 00:01:14.403000,,,2022,Monaco Grand Prix,False
24,G ZHOU,Alfa Romeo,20.0,0 days 00:01:15.606000,,,2022,Monaco Grand Prix,False
16,C LECLERC,Ferrari,1.0,0 days 00:01:42.865000,0 days 00:01:42.046000,0 days 00:01:41.359000,2022,Azerbaijan Grand Prix,False
11,S PEREZ,Red Bull Racing,2.0,0 days 00:01:42.733000,0 days 00:01:41.955000,0 days 00:01:41.641000,2022,Azerbaijan Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,3.0,0 days 00:01:42.722000,0 days 00:01:42.227000,0 days 00:01:41.706000,2022,Azerbaijan Grand Prix,False
55,C SAINZ,Ferrari,4.0,0 days 00:01:42.957000,0 days 00:01:42.088000,0 days 00:01:41.814000,2022,Azerbaijan Grand Prix,False
63,G RUSSELL,Mercedes,5.0,0 days 00:01:43.754000,0 days 00:01:43.281000,0 days 00:01:42.712000,2022,Azerbaijan Grand Prix,False
10,P GASLY,AlphaTauri,6.0,0 days 00:01:43.268000,0 days 00:01:43.129000,0 days 00:01:42.845000,2022,Azerbaijan Grand Prix,False
44,L HAMILTON,Mercedes,7.0,0 days 00:01:43.939000,0 days 00:01:43.182000,0 days 00:01:42.924000,2022,Azerbaijan Grand Prix,False
22,Y TSUNODA,AlphaTauri,8.0,0 days 00:01:43.595000,0 days 00:01:43.376000,0 days 00:01:43.056000,2022,Azerbaijan Grand Prix,False
5,S VETTEL,Aston Martin,9.0,0 days 00:01:43.279000,0 days 00:01:43.268000,0 days 00:01:43.091000,2022,Azerbaijan Grand Prix,False
14,F ALONSO,Alpine,10.0,0 days 00:01:44.083000,0 days 00:01:43.360000,0 days 00:01:43.173000,2022,Azerbaijan Grand Prix,False
4,L NORRIS,McLaren,11.0,0 days 00:01:44.237000,0 days 00:01:43.398000,,2022,Azerbaijan Grand Prix,False
3,D RICCIARDO,McLaren,12.0,0 days 00:01:44.437000,0 days 00:01:43.574000,,2022,Azerbaijan Grand Prix,False
31,E OCON,Alpine,13.0,0 days 00:01:43.903000,0 days 00:01:43.585000,,2022,Azerbaijan Grand Prix,False
24,G ZHOU,Alfa Romeo,14.0,0 days 00:01:43.777000,0 days 00:01:43.790000,,2022,Azerbaijan Grand Prix,False
77,V BOTTAS,Alfa Romeo,15.0,0 days 00:01:44.478000,0 days 00:01:44.444000,,2022,Azerbaijan Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,16.0,0 days 00:01:44.643000,,,2022,Azerbaijan Grand Prix,False
23,A ALBON,Williams,17.0,0 days 00:01:44.719000,,,2022,Azerbaijan Grand Prix,False
6,N LATIFI,Williams,18.0,0 days 00:01:45.367000,,,2022,Azerbaijan Grand Prix,False
18,L STROLL,Aston Martin,19.0,0 days 00:01:45.371000,,,2022,Azerbaijan Grand Prix,False
47,M SCHUMACHER,Haas F1 Team,20.0,0 days 00:01:45.775000,,,2022,Azerbaijan Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,1.0,0 days 00:01:32.219000,0 days 00:01:23.746000,0 days 00:01:21.299000,2022,Canadian Grand Prix,True
14,F ALONSO,Alpine,2.0,0 days 00:01:32.277000,0 days 00:01:24.848000,0 days 00:01:21.944000,2022,Canadian Grand Prix,True
55,C SAINZ,Ferrari,3.0,0 days 00:01:32.781000,0 days 00:01:25.197000,0 days 00:01:22.096000,2022,Canadian Grand Prix,True
44,L HAMILTON,Mercedes,4.0,0 days 00:01:33.841000,0 days 00:01:25.543000,0 days 00:01:22.891000,2022,Canadian Grand Prix,True
20,K MAGNUSSEN,Haas F1 Team,5.0,0 days 00:01:32.957000,0 days 00:01:26.254000,0 days 00:01:22.960000,2022,Canadian Grand Prix,True
47,M SCHUMACHER,Haas F1 Team,6.0,0 days 00:01:33.707000,0 days 00:01:25.684000,0 days 00:01:23.356000,2022,Canadian Grand Prix,True
31,E OCON,Alpine,7.0,0 days 00:01:33.012000,0 days 00:01:26.135000,0 days 00:01:23.529000,2022,Canadian Grand Prix,True
63,G RUSSELL,Mercedes,8.0,0 days 00:01:33.160000,0 days 00:01:24.950000,0 days 00:01:23.557000,2022,Canadian Grand Prix,True
3,D RICCIARDO,McLaren,9.0,0 days 00:01:33.636000,0 days 00:01:26.375000,0 days 00:01:23.749000,2022,Canadian Grand Prix,True
24,G ZHOU,Alfa Romeo,10.0,0 days 00:01:33.692000,0 days 00:01:26.116000,0 days 00:01:24.030000,2022,Canadian Grand Prix,True
77,V BOTTAS,Alfa Romeo,11.0,0 days 00:01:33.689000,0 days 00:01:26.788000,,2022,Canadian Grand Prix,True
23,A ALBON,Williams,12.0,0 days 00:01:34.047000,0 days 00:01:26.858000,,2022,Canadian Grand Prix,True
11,S PEREZ,Red Bull Racing,13.0,0 days 00:01:33.929000,0 days 00:01:33.127000,,2022,Canadian Grand Prix,True
4,L NORRIS,McLaren,14.0,0 days 00:01:34.066000,,,2022,Canadian Grand Prix,True
16,C LECLERC,Ferrari,15.0,0 days 00:01:33.008000,,,2022,Canadian Grand Prix,True
10,P GASLY,AlphaTauri,16.0,0 days 00:01:34.492000,,,2022,Canadian Grand Prix,True
5,S VETTEL,Aston Martin,17.0,0 days 00:01:34.512000,,,2022,Canadian Grand Prix,True
18,L STROLL,Aston Martin,18.0,0 days 00:01:35.532000,,,2022,Canadian Grand Prix,True
6,N LATIFI,Williams,19.0,0 days 00:01:35.660000,,,2022,Canadian Grand Prix,True
22,Y TSUNODA,AlphaTauri,20.0,0 days 00:01:36.575000,,,2022,Canadian Grand Prix,True
55,C SAINZ,Ferrari,1.0,0 days 00:01:40.190000,0 days 00:01:41.602000,0 days 00:01:40.983000,2022,British Grand Prix,True
1,M VERSTAPPEN,Red Bull Racing,2.0,0 days 00:01:39.129000,0 days 00:01:40.655000,0 days 00:01:41.055000,2022,British Grand Prix,True
16,C LECLERC,Ferrari,3.0,0 days 00:01:39.846000,0 days 00:01:41.247000,0 days 00:01:41.298000,2022,British Grand Prix,True
11,S PEREZ,Red Bull Racing,4.0,0 days 00:01:40.521000,0 days 00:01:42.513000,0 days 00:01:41.616000,2022,British Grand Prix,True
44,L HAMILTON,Mercedes,5.0,0 days 00:01:40.428000,0 days 00:01:41.062000,0 days 00:01:41.995000,2022,British Grand Prix,True
4,L NORRIS,McLaren,6.0,0 days 00:01:41.515000,0 days 00:01:41.821000,0 days 00:01:42.084000,2022,British Grand Prix,True
14,F ALONSO,Alpine,7.0,0 days 00:01:41.598000,0 days 00:01:42.209000,0 days 00:01:42.116000,2022,British Grand Prix,True
63,G RUSSELL,Mercedes,8.0,0 days 00:01:40.028000,0 days 00:01:41.725000,0 days 00:01:42.161000,2022,British Grand Prix,True
24,G ZHOU,Alfa Romeo,9.0,0 days 00:01:40.791000,0 days 00:01:42.640000,0 days 00:01:42.719000,2022,British Grand Prix,True
